 6.875134, 0.002520  24 6.852760   0.997480  25 6.875190  
 6.859991, 0.677635  24 6.852760   0.322365  25 6.875190  
 6.844701, 0.186965  23 6.809653   0.813035  24 6.852760  
 6.829172, 0.547193  23 6.809653   0.452807  24 6.852760  
 6.813398, 0.913124  23 6.809653   0.086876  24 6.852760  
 6.797371, 0.176315  22 6.739992   0.823685  23 6.809653  
 6.781082, 0.410148  22 6.739992   0.589852  23 6.809653  
 6.764521, 0.647877  22 6.739992   0.352123  23 6.809653  
 6.747681, 0.889622  22 6.739992   0.110378  23 6.809653  
 6.730552, 0.098101  21 6.643769   0.901899  22 6.739992  
 6.713125, 0.279222  21 6.643769   0.720778  22 6.739992  
 6.695386, 0.463571  21 6.643769   0.536429  22 6.739992  
 6.674282, 0.682892  21 6.643769   0.317108  22 6.739992  
 6.646475, 0.971878  21 6.643769   0.028122  22 6.739992  
 6.614644, 0.237186  20 6.520975   0.762814  21 6.643769  
 6.581759, 0.504993  20 6.520975   0.495007  21 6.643769  
 6.547746, 0.781980  20 6.520975   0.218020  21 6.643769  
 6.512535, 0.056673  19 6.372051   0.943327  20 6.520975  
 6.466693, 0.364493  19 6.372051   0.635507  20 6.520975  
 6.408732, 0.753690  19 6.372051   0.246310  20 6.520975  
 6.347185, 0.152739  18 6.209253   0.847261  19 6.372051  
 6.281570, 0.555789  18 6.209253   0.444211  19 6.372051  
 6.211298, 0.987440  18 6.209253   0.012560  19 6.372051  
 6.135662, 0.451891  17 6.046402   0.548109  18 6.209253  
 6.053759, 0.954824  17 6.046402   0.045176  18 6.209253  
 5.964432, 0.503152  16 5.883489   0.496848  17 6.046402  
 5.866204, 0.106055  15 5.720503   0.893945  16 5.883489  
 5.738488, 0.889655  15 5.720503   0.110345  16 5.883489  
 5.581021, 0.855341  14 5.557431   0.144659  15 5.720503  
 5.420890, 0.836786  13 5.394258   0.163214  14 5.557431  
 5.259861, 0.823040  12 5.230965   0.176960  13 5.394258  
 5.097800, 0.814794  11 5.067531   0.185206  12 5.230965  
 4.935301, 0.808257  10 4.903932   0.191743  11 5.067531  
 4.772801, 0.800579  9 4.740137   0.199421  10 4.903932  
 4.610301, 0.791561  8 4.576111   0.208439  9 4.740137  
 4.447803, 0.780949  7 4.411813   0.219051  8 4.576111  
 4.284384, 0.639087  6 4.212421   0.360913  7 4.411813  
 4.118967, 0.337990  5 3.935921   0.662010  6 4.212421  
 3.951550, 0.943476  5 3.935921   0.056524  6 4.212421  
 3.782134, 0.433634  4 3.581275   0.566366  5 3.935921  
 3.610721, 0.916972  4 3.581275   0.083028  5 3.935921  
 3.436851, 0.328154  3 3.141164   0.671846  4 3.581275  
 3.259984, 0.730024  3 3.141164   0.269976  4 3.581275  
 3.080120, 0.113783  2 2.604665   0.886217  3 3.141164  
 2.897256, 0.454628  2 2.604665   0.545372  3 3.141164  
 2.711395, 0.801063  2 2.604665   0.198937  3 3.141164  
 2.522536, 0.130084  1 1.973308   0.869916  2 2.604665  
 2.330679, 0.433964  1 1.973308   0.566036  2 2.604665  
 2.134923, 0.744021  1 1.973308   0.255979  2 2.604665  
 1.934173, 0.054186  0 1.251077   0.945814  1 1.973308  
 1.728429, 0.339059  0 1.251077   0.660941  1 1.973308  
 1.517692, 0.630845  0 1.251077   0.369155  1 1.973308  
 1.301961, 0.929545  0 1.251077   0.070455  1 1.973308  

